Report Date,Deaths,Injuries
2024-02-23,0,10
2024-02-24,0,3
2024-02-25,0,13
2024-02-26,3,4
2024-02-27,2,1
2024-02-28,0,8
2024-02-29,5,9
2024-03-01,0,1
2024-03-02,2,4
2024-03-03,0,1
2024-03-04,2,22
2024-03-05,2,6
2024-03-06,1,8
2024-03-07,0,5
2024-03-08,1,5
2024-03-09,0,3
2024-03-10,0,1
2024-03-11,2,6
2024-03-12,3,7
2024-03-13,3,4
2024-03-14,0,0
2024-03-15,1,1
2024-03-16,1,0
2024-03-17,0,1
2024-03-18,0,0
2024-03-19,2,0
2024-03-20,7,6
2024-03-21,4,7
2024-03-22,2,5
2024-03-23,0,0
2024-03-24,0,5
2024-03-25,0,9
2024-03-26,0,3
2024-03-27,4,9
2024-03-28,0,11
2024-03-29,0,0
2024-03-30,1,9
2024-03-31,0,1
2024-04-01,0,2
2024-04-02,1,5
2024-04-03,0,1
2024-04-04,1,5
2024-04-05,1,6
2024-04-06,0,18
2024-04-07,0,3
2024-04-08,1,2
2024-04-09,0,1
2024-04-10,0,7
2024-04-11,0,0
2024-04-12,3,36
2024-04-13,1,25
2024-04-14,0,10
2024-04-15,3,15
2024-04-16,0,2
2024-04-17,0,2
2024-04-18,14,50
2024-04-19,0,6
2024-04-20,1,3
2024-04-21,3,6
2024-04-22,0,6
2024-04-23,1,5
2024-04-24,1,0
2024-04-25,1,1
2024-04-26,0,0
2024-04-27,2,2
2024-04-28,0,1
2024-04-29,0,5
2024-04-30,0,2
2024-05-01,4,1
2024-05-02,0,3
2024-05-03,0,2
2024-05-04,0,8
2024-05-05,0,5
2024-05-06,1,0
2024-05-07,0,0
2024-05-08,0,0
2024-05-09,0,4
2024-05-10,0,0
2024-05-11,0,0
2024-05-12,1,8
2024-05-13,0,14
2024-05-14,0,3
2024-05-15,4,3
2024-05-16,1,9
2024-05-17,3,16
2024-05-18,0,3
2024-05-19,1,1
2024-05-20,0,3
2024-05-21,12,23
2024-05-22,0,0
2024-05-23,0,3
2024-05-24,0,2
2024-05-25,0,6
2024-05-26,1,5
2024-05-27,0,5
2024-05-28,0,7
2024-05-29,0,2
2024-05-30,1,14
2024-05-31,0,1
2024-06-01,0,6
2024-06-02,2,2
2024-06-03,3,9
2024-06-04,0,3
2024-06-05,0,7
2024-06-06,4,25
2024-06-07,0,0
2024-06-08,1,14
2024-06-09,0,9
2024-06-10,6,15
2024-06-11,6,12
2024-06-12,0,3
2024-06-13,3,4
2024-06-14,0,16
2024-06-15,1,6
2024-06-16,0,3
2024-06-17,0,16
2024-06-18,1,11
2024-06-19,0,18
2024-06-20,1,1
2024-06-21,2,4
2024-06-22,1,14
2024-06-23,0,15
2024-06-24,0,6
2024-06-25,0,3
2024-06-26,0,6
2024-06-27,0,4
2024-06-28,0,2
2024-06-29,0,5
2024-06-30,1,7
2024-07-01,2,16
2024-07-02,4,11
2024-07-03,1,24
2024-07-04,0,7
2024-07-05,7,21
2024-07-06,2,14
2024-07-07,1,2
2024-07-08,0,12
2024-07-09,1,9
2024-07-10,0,6
2024-07-11,1,11
2024-07-12,1,0
2024-07-13,0,5
2024-07-14,1,4
2024-07-15,0,1
2024-07-16,1,3
2024-07-17,0,3
2024-07-18,0,1
2024-07-19,2,2
2024-07-20,0,3
2024-07-21,0,1
2024-07-22,5,9
2024-07-23,4,10
2024-07-24,2,2
2024-07-25,0,2
2024-07-26,0,23
2024-07-27,2,45
2024-07-28,0,1
2024-07-29,0,3
2024-07-30,2,3
2024-07-31,0,12
2024-08-01,0,13
2024-08-02,1,16
2024-08-03,9,13
2024-08-04,1,10
2024-08-05,9,19
2024-08-06,4,10
2024-08-07,1,11
2024-08-08,0,4
2024-08-09,0,14
2024-08-10,0,10
2024-08-11,2,8
2024-08-12,1,6
2024-08-13,2,13
2024-08-14,5,12
2024-08-15,3,19
2024-08-16,0,8
2024-08-17,2,3
2024-08-18,0,3
2024-08-19,1,8
2024-08-20,1,7
2024-08-21,1,5
2024-08-22,3,2
2024-08-23,0,7
2024-08-24,0,10
2024-08-25,4,11
2024-08-26,7,6
2024-08-27,0,1
2024-08-28,16,70
2024-08-29,3,3
2024-08-30,5,2
2024-08-31,0,13
2024-09-01,4,8
2024-09-02,2,14
2024-09-03,3,9
2024-09-04,0,4
2024-09-05,6,22
2024-09-06,1,5
2024-09-07,0,12
2024-09-08,0,6
2024-09-09,0,5
2024-09-10,2,8
2024-09-11,8,4
2024-09-12,1,13
2024-09-13,0,17
2024-09-14,0,3
2024-09-15,0,3
2024-09-16,2,15
2024-09-17,1,1
2024-09-18,2,15
2024-09-19,7,12
2024-09-20,1,47
2024-09-21,0,2
2024-09-22,0,6
2024-09-23,0,7
2024-09-24,1,15
2024-09-25,1,3
2024-09-26,1,49
2024-09-27,0,19
2024-09-28,0,8
2024-09-29,0,16
2024-09-30,0,0
2024-10-01,2,25
2024-10-02,0,1
2024-10-03,19,7
2024-10-04,0,22
2024-10-05,1,22
2024-10-06,0,6
2024-10-07,1,42
2024-10-08,0,3
2024-10-09,5,2
2024-10-10,2,0
2024-10-11,0,66
2024-10-12,0,14
2024-10-13,0,10
2024-10-14,2,9
2024-10-15,0,1
2024-10-16,0,0
2024-10-17,0,0
2024-10-18,0,0
2024-10-19,0,0
2024-10-20,0,0
2024-10-21,0,0
2024-10-22,0,0
2024-10-23,0,0
2024-10-24,0,0
2024-10-25,0,1
2024-10-26,0,0
2024-10-27,0,0
2024-10-28,0,17
2024-10-29,0,0
2024-10-30,0,1
2024-10-31,0,0
2024-11-01,0,0
2024-11-02,0,0
2024-11-03,1,0
2024-11-04,0,0
2024-11-05,0,0
2024-11-06,1,0
2024-11-07,0,0
2024-11-08,0,0
2024-11-09,0,0
2024-11-10,0,0
2024-11-11,0,0
2024-11-12,0,0
2024-11-13,2,0
